tweet_id,created_at,user,text,hashtags,user_mentions,in_reply_to_screen_name,retweeted_status,is_quote_status,retweet_count,favorite_count,quote_count,reply_count
1235553855791747073,Thu Mar 05 13:12:49 +0000 2020,waterfield7LA,@mikemata @EWOKinLA #AstrosCheated #TaintedTitle #Bangbang #Algorithm https://t.co/PUidu7ZoT9,"['AstrosCheated', 'TaintedTitle', 'Bangbang', 'Algorithm']","['mikemata', 'EWOKinLA']",mikemata,False,False,0,1,0,0
1235553694986293248,Thu Mar 05 13:12:11 +0000 2020,waterfield7LA,@mikemata @EWOKinLA #AstrosCheated #TaintedTitle #Bangbang #Bangbang,"['AstrosCheated', 'TaintedTitle', 'Bangbang', 'Bangbang']","['mikemata', 'EWOKinLA']",mikemata,False,False,0,1,0,0
1235553542665957378,Thu Mar 05 13:11:34 +0000 2020,waterfield7LA,@mikemata @AsteriskTour #AstrosCheated #TaintedTitle #Bangbang #Algorithm https://t.co/A3Q0qBubaG,"['AstrosCheated', 'TaintedTitle', 'Bangbang', 'Algorithm']","['mikemata', 'AsteriskTour']",mikemata,False,False,0,1,0,0
1235553409043849217,Thu Mar 05 13:11:02 +0000 2020,waterfield7LA,@JFDL @Stros_B4_Hoes_ @EWOKinLA Such a tired argument. No 1 in attendance again. That’s what matters. Should we loo… https://t.co/jtUiwtRwZd,[],"['JFDL', 'Stros_B4_Hoes_', 'EWOKinLA']",JFDL,False,False,0,1,0,0
1235552093072584706,Thu Mar 05 13:05:49 +0000 2020,waterfield7LA,"@JFDL @thedodgerdude Again, idgaf. #AstrosCheated #TaintedTitle #Bangbang #Algorithm","['AstrosCheated', 'TaintedTitle', 'Bangbang', 'Algorithm']","['JFDL', 'thedodgerdude']",JFDL,False,False,0,0,0,0
1235550120294432768,Thu Mar 05 12:57:58 +0000 2020,EduCounsel,Who is Alex Bregman? #astroscheated #givebacktherings https://t.co/37kOhaZCDu,"['astroscheated', 'givebacktherings']",[],,False,True,0,0,0,0
1235536403079012352,Thu Mar 05 12:03:28 +0000 2020,rocknrollchem,🤣😂😭🤣😂😭 @AsteriskTour @astros #Astros #AstrosCheated https://t.co/pxapSNphXE,"['Astros', 'AstrosCheated']","['AsteriskTour', 'astros']",,False,False,0,7,0,0
1235534488328790017,Thu Mar 05 11:55:51 +0000 2020,ralphnav,"Old clip, but I’ll pile on. How easy is it to say “we never used buzzers,” @ajhinch? Very—unless you would have to… https://t.co/UWmlu7WDIl",[],['ajhinch'],,False,True,0,1,0,0
1235454656148418560,Thu Mar 05 06:38:38 +0000 2020,HoustonAsteris5,@astros Ricky said it best. @astros @MLB #AstrosCheatingScandal #AstrosCheated #DontStroMeBro #ForThecHeaters https://t.co/mWAnPOZ3Ry,"['AstrosCheatingScandal', 'AstrosCheated', 'DontStroMeBro', 'ForThecHeaters']","['astros', 'astros', 'MLB']",astros,False,False,0,0,0,0
1235450689175703552,Thu Mar 05 06:22:52 +0000 2020,hannahhovo,"RT @chrisespinosa11: it was iconic duo day at work so you know we had to do it 😂😂 #AstrosCheated
@Shelton_N8 https://t.co/H9WidIopHg",['AstrosCheated'],"['chrisespinosa11', 'Shelton_N8']",,False,False,7,0,0,0
